Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,25,28.3,4.86,30,35,0.462,4.62,65,65,65,0,3,0,14,575,588,316,295,70,197,12,474,22,3,27,2470,88,4.21,1.365,9.2,1.1,3.1,7.4,2.41,438
Atlanta Braves,24,31.8,3.87,35,27,0.565,3.6,62,62,60,2,9,1,18,552,501,240,221,56,175,8,546,26,2,15,2298,115,3.57,1.225,8.2,0.9,2.9,8.9,3.12,411
Baltimore Orioles,21,29.8,3.62,41,22,0.651,3.21,63,63,63,0,5,0,20,568.1,461,228,203,54,184,2,542,20,2,16,2328,116,3.52,1.135,7.3,0.9,2.9,8.6,2.95,405
Boston Red Sox,21,29.5,4.03,32,33,0.492,3.43,65,65,64,1,8,1,12,580.1,504,262,221,60,165,9,557,29,0,19,2400,122,3.56,1.153,7.8,0.9,2.6,8.6,3.38,407
Chicago Cubs,24,28.9,4.55,31,34,0.477,3.98,65,65,65,0,4,0,14,573.2,533,296,254,68,212,5,571,25,2,26,2462,104,3.93,1.299,8.4,1.1,3.3,9,2.69,454
Chicago White Sox,22,28.5,5.25,17,48,0.262,4.96,65,65,65,0,3,0,11,564,555,341,311,85,257,7,551,22,5,30,2496,82,4.63,1.44,8.9,1.4,4.1,8.8,2.14,468
Cincinnati Reds,18,29.2,4.14,32,33,0.492,3.88,65,65,65,0,3,0,15,574.2,516,269,248,67,196,3,542,42,1,17,2434,108,4.01,1.239,8.1,1,3.1,8.5,2.77,445
Cleveland Guardians,19,27.8,3.68,41,22,0.651,3.43,63,63,63,0,7,0,23,564,484,232,215,64,185,2,562,27,3,24,2330,113,3.75,1.186,7.7,1,3,9,3.04,416
Colorado Rockies,20,28.8,5.64,23,41,0.359,5.33,64,64,64,0,1,0,14,566,622,361,335,71,241,7,417,20,0,25,2505,86,4.68,1.525,9.9,1.1,3.8,6.6,1.73,457
Detroit Tigers,18,28.4,4.34,31,33,0.484,3.87,64,64,64,0,5,0,15,569.2,523,278,245,61,175,2,540,21,3,19,2391,105,3.66,1.225,8.3,1,2.8,8.5,3.09,414
Houston Astros,25,29.7,4.34,30,35,0.462,4.17,65,65,63,2,4,1,12,576.2,515,282,267,75,247,1,548,31,5,27,2463,94,4.37,1.321,8,1.2,3.9,8.6,2.22,459
Kansas City Royals,22,29.2,3.8,39,26,0.6,3.66,65,65,64,1,4,0,18,570,522,247,232,54,200,5,511,27,1,9,2415,114,3.77,1.267,8.2,0.9,3.2,8.1,2.56,462
Los Angeles Angels,22,29.8,4.94,24,40,0.375,4.55,64,64,64,0,3,0,15,569.1,509,316,288,74,243,9,515,30,6,26,2438,91,4.46,1.321,8,1.2,3.8,8.1,2.12,423
Los Angeles Dodgers,27,29.7,3.53,41,25,0.621,3.25,66,66,66,0,6,0,19,592.1,475,233,214,67,193,6,575,24,2,23,2419,124,3.76,1.128,7.2,1,2.9,8.7,2.98,420
Miami Marlins,27,26.8,5.08,22,42,0.344,4.63,64,64,63,1,5,1,9,569,554,325,293,61,230,9,518,38,3,20,2483,93,4.12,1.378,8.8,1,3.6,8.2,2.25,462
Milwaukee Brewers,26,28.8,3.94,38,26,0.594,3.68,64,64,64,0,3,0,21,567.1,509,252,232,71,203,12,515,28,4,16,2398,115,4.17,1.255,8.1,1.1,3.2,8.2,2.54,451
Minnesota Twins,23,28.5,4.42,33,31,0.516,4.26,64,64,64,0,2,0,21,562,519,283,266,80,166,5,573,26,2,16,2363,92,3.97,1.219,8.3,1.3,2.7,9.2,3.45,397
New York Mets,26,31.2,4.89,27,36,0.429,4.25,63,63,63,0,0,0,14,567.1,502,308,268,60,252,4,552,35,4,23,2442,91,4.08,1.329,8,1,4,8.8,2.19,446
New York Yankees,24,29.5,3.27,45,21,0.682,2.88,66,66,66,0,7,0,23,591,449,216,189,63,213,1,569,37,8,15,2426,139,3.87,1.12,6.8,1,3.2,8.7,2.67,445
Oakland Athletics,26,29.5,4.71,26,40,0.394,4.19,66,66,66,0,5,0,15,587,554,311,273,60,217,16,506,34,5,16,2500,93,4.02,1.313,8.5,0.9,3.3,7.8,2.33,441
Philadelphia Phillies,18,29.8,3.41,45,19,0.703,2.9,64,64,62,2,7,2,19,580,472,218,187,49,179,6,593,19,3,25,2368,138,3.21,1.122,7.3,0.8,2.8,9.2,3.31,423
Pittsburgh Pirates,21,27.5,4.39,31,33,0.484,3.86,64,64,63,1,4,0,18,575.1,526,281,247,70,202,6,546,28,4,15,2445,106,4.02,1.265,8.2,1.1,3.2,8.5,2.7,453
San Diego Padres,18,29.1,4.15,34,34,0.5,3.87,68,68,68,0,4,0,18,601.2,529,282,259,74,192,7,586,24,3,21,2505,101,3.86,1.198,7.9,1.1,2.9,8.8,3.05,421
Seattle Mariners,20,27.8,3.73,36,30,0.545,3.55,66,66,66,0,6,0,18,580,464,246,229,66,160,9,553,22,2,15,2344,105,3.65,1.076,7.2,1,2.5,8.6,3.46,362
San Francisco Giants,21,27.2,4.68,32,33,0.492,4.38,65,65,65,0,4,0,12,573.2,568,304,279,63,198,5,551,35,3,21,2470,88,3.86,1.335,8.9,1,3.1,8.6,2.78,452
St. Louis Cardinals,19,31.4,4.65,30,33,0.476,4.13,63,63,63,0,2,0,23,555.2,533,293,255,71,183,3,528,19,1,22,2352,99,3.99,1.289,8.6,1.1,3,8.6,2.89,399
Tampa Bay Rays,22,29.2,4.78,31,33,0.484,4.34,64,64,64,0,2,0,20,578.2,551,306,279,84,182,9,553,32,1,12,2461,89,4.22,1.267,8.6,1.3,2.8,8.6,3.04,434
Texas Rangers,23,31.1,4.22,30,34,0.469,3.85,64,64,64,0,5,0,10,565,482,270,242,67,233,10,547,24,2,17,2390,100,4.11,1.265,7.7,1.1,3.7,8.7,2.35,431
Toronto Blue Jays,22,30.9,4.5,31,33,0.484,4.19,64,64,62,2,3,1,15,562.2,532,288,262,84,185,8,512,26,4,10,2379,94,4.38,1.274,8.5,1.3,3,8.2,2.77,410
Washington Nationals,18,29.8,4.3,29,35,0.453,3.98,64,64,64,0,4,0,17,565.2,546,275,250,55,182,7,495,17,3,32,2380,101,3.71,1.287,8.7,0.9,2.9,7.9,2.72,414
League Average,21,29.2,4.32,32,32,0.5,3.96,64,64,64,0,4,0,16,573,520,279,252,67,202,6,538,27,3,20,2418,102,3.97,1.26,8.2,1,3.2,8.5,2.67,431
League Sum,644,29.2,4.32,967,967,0.5,3.96,1934,1934,1922,12,128,7,493,17178,15598,8359,7559,2004,6047,195,16148,810,87,599,72555,102,3.97,1.26,8.2,1,3.2,8.5,2.67,12920
